aférrimo 	acérrimo
adversión 	aversión
beneficiencia 	beneficencia
consanguineidad 	consanguinidad
consciencia 	conciencia
contricción 	contrición
convalescencia 	convalecencia
disglosia 	diglosia
disgresión 	digresión
dixlesia 	dislexia
escéntrico 	excéntrico
espectativa 	expectativa
esplanada 	explanada
exalar 	exhalar
exausto 	exhausto
excéptico 	escéptico
exhorbitante 	exorbitante
exhuberante 	exuberante
exortar 	exhortar
extrínsico 	extrínseco
exumar 	exhumar
fregaplatos 	friegaplatos
garage 	garaje
hemiplegía 	hemiplejía
idiosincracia 	idiosincrasia
inexcrutable 	inescrutable
inflingido 	infligido
intrínsico 	intrínseco
jeringoza 	jerigonza
misógeno 	misógino
pregaria 	plegaria
prevadicación 	prevaricación
preveer 	prever
subrealista 	surrealista
sujección 	sujeción
transplantar 	trasplantar
transtornado 	trastornado 
